#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert,Latitude,Longitude
Elettra-Carroponte2024-4168_pt.jpg,3.45,-1.11,5.623628,-2.076162,-0.554521,-162.664219,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4169_pt.jpg,3.45,-1.11,5.623628,-1.995672521748002,-0.2042625442477042,-164.20790816439677,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4170_pt.jpg,3.45,-1.11,5.623628,-2.193332,-0.044706,-161.260071,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4171_pt.jpg,3.45,-1.11,5.623628,-1.921181,-0.417537,-160.390779,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4172_pt.jpg,3.45,-1.11,5.623628,-2.15369,-0.176399,-159.737245,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4173_pt.jpg,3.45,-1.11,5.623628,-2.026635,-0.338538,-158.94016,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4174_pt.jpg,3.45,-1.11,5.623628,-1.992438,-0.369539,-158.165973,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4175_pt.jpg,3.45,-1.11,5.623628,-1.98108,-0.475178,-157.449818,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4176_pt.jpg,3.45,-1.11,5.623628,-1.956687,-0.403821,-156.616487,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4177_pt.jpg,3.45,-1.11,5.623628,-1.889493,-0.636249,-155.915155,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4178_pt.jpg,3.45,-1.11,5.623628,-1.908301,-0.652672,-155.15898,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4179_pt.jpg,3.45,-1.11,5.623628,-1.922245,-0.708825,-154.445259,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4180_pt.jpg,3.45,-1.11,5.623628,-1.975597,-0.706594,-153.673958,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4181_pt.jpg,3.45,-1.11,5.623628,-1.910819,-0.734392,-152.938064,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4182_pt.jpg,3.45,-1.11,5.623628,-1.967588,-0.619962,-152.165768,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4183_pt.jpg,3.45,-1.11,5.623628,-2.045526,-0.483789,-151.407059,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4184_pt.jpg,3.45,-1.11,5.623628,-2.01938,-0.570123,-150.668236,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4185_pt.jpg,3.45,-1.11,5.623628,-2.077013,-0.493356,-149.899705,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4186_pt.jpg,3.45,-1.11,5.623628,-2.026844,-0.593008,-149.175724,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4187_pt.jpg,3.45,-1.11,5.623628,-1.973963,-0.668683,-148.43197,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4188_pt.jpg,3.45,-1.11,5.623628,-1.916748,-0.751736,-147.682229,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4189_pt.jpg,3.45,-1.11,5.623628,-1.839149,-0.877843,-146.960982,1.0,0.3,45.64495512343859,13.850640981970612
